scam_type,sender_state,complaint_status,bank_id,complaint_count,total_loss,avg_loss,min_loss,max_loss,avg_resolution_days,min_resolution_days,max_resolution_days,affected_users,linked_txns,total_loss_lakhs,avg_loss_k
IMPERSONATION,Rajasthan,ESCALATED,KOTAK005,1,6755.26,6755.26,6755.26,6755.26,,,,1,1,0.07,6.76
LOTTERY,Andhra Pradesh,OPEN,SBI001,1,2263.47,2263.47,2263.47,2263.47,,,,1,1,0.02,2.26
KYC,Assam,RESOLVED,ICICI003,1,766.22,766.22,766.22,766.22,63.0,63.0,63.0,1,1,0.01,0.77
TECH_SUPPORT,Punjab,RESOLVED,BOB007,3,13832.130000000001,4610.71,1523.03,9309.1,55.333333333333336,42.0,78.0,3,3,0.14,4.61
LOTTERY,Maharashtra,OPEN,BOB007,8,80422.15,10052.76875,1000.0,25000.0,,,,8,8,0.8,10.05
KYC,Telangana,ESCALATED,KOTAK005,1,2800.0,2800.0,2800.0,2800.0,,,,1,1,0.03,2.8
EMERGENCY,Maharashtra,RESOLVED,HDFC002,1,2520.14,2520.14,2520.14,2520.14,33.0,33.0,33.0,1,1,0.03,2.52
LOTTERY,Meghalaya,OPEN,INDUS010,2,5385.08,2692.54,2185.08,3200.0,,,,2,2,0.05,2.69
JOB,Maharashtra,RESOLVED,SBI001,2,3259.76,1629.88,1545.43,1714.33,45.0,17.0,73.0,2,2,0.03,1.63
TECH_SUPPORT,Kerala,OPEN,CANARA008,1,1760.23,1760.23,1760.23,1760.23,,,,1,1,0.02,1.76
JOB,Jharkhand,RESOLVED,CANARA008,1,5000.0,5000.0,5000.0,5000.0,43.0,43.0,43.0,1,1,0.05,5.0
KYC,Delhi,RESOLVED,KOTAK005,2,2826.29,1413.145,500.0,2326.29,40.0,7.0,73.0,2,2,0.03,1.41
LEGITIMATE,Tamil Nadu,OPEN,INDUS010,3,5573.360000000001,1857.7866666666669,351.41,4226.97,,,,3,3,0.06,1.86
KYC,West Bengal,OPEN,BOB007,5,7825.22,1565.044,600.0,2500.0,,,,5,5,0.08,1.57
IMPERSONATION,Telangana,OPEN,CANARA008,3,35930.490000000005,11976.830000000002,5073.02,18457.47,,,,3,3,0.36,11.98
EMERGENCY,Maharashtra,OPEN,AXIS004,1,10643.49,10643.49,10643.49,10643.49,,,,1,1,0.11,10.64
TECH_SUPPORT,West Bengal,RESOLVED,PNB006,1,6300.0,6300.0,6300.0,6300.0,74.0,74.0,74.0,1,1,0.06,6.3
LEGITIMATE,Himachal Pradesh,OPEN,HDFC002,1,2268.8,2268.8,2268.8,2268.8,,,,1,1,0.02,2.27
JOB,Assam,OPEN,CANARA008,1,2464.84,2464.84,2464.84,2464.84,,,,1,1,0.02,2.46
KYC,Punjab,RESOLVED,INDUS010,1,1048.75,1048.75,1048.75,1048.75,45.0,45.0,45.0,1,1,0.01,1.05
INVESTMENT,West Bengal,OPEN,PNB006,1,27900.0,27900.0,27900.0,27900.0,,,,1,1,0.28,27.9
LOTTERY,Gujarat,ESCALATED,AXIS004,3,6557.6,2185.866666666667,1100.0,3603.07,,,,3,3,0.07,2.19
JOB,Bihar,OPEN,CANARA008,1,1146.17,1146.17,1146.17,1146.17,,,,1,1,0.01,1.15
JOB,Bihar,RESOLVED,CANARA008,1,1624.29,1624.29,1624.29,1624.29,8.0,8.0,8.0,1,1,0.02,1.62
LOTTERY,Nagaland,OPEN,UNION009,1,15587.59,15587.59,15587.59,15587.59,,,,1,1,0.16,15.59
TECH_SUPPORT,Telangana,ESCALATED,UNION009,2,7614.139999999999,3807.0699999999997,3636.94,3977.2,,,,2,2,0.08,3.81
LEGITIMATE,Himachal Pradesh,OPEN,CANARA008,1,633.76,633.76,633.76,633.76,,,,1,1,0.01,0.63
LEGITIMATE,Telangana,RESOLVED,ICICI003,1,15170.27,15170.27,15170.27,15170.27,58.0,58.0,58.0,1,1,0.15,15.17
LEGITIMATE,Delhi,ESCALATED,BOB007,2,3617.1000000000004,1808.5500000000002,512.7,3104.4,,,,2,2,0.04,1.81
LEGITIMATE,Gujarat,OPEN,ICICI003,1,4305.88,4305.88,4305.88,4305.88,,,,1,1,0.04,4.31
KYC,Meghalaya,RESOLVED,SBI001,1,1067.22,1067.22,1067.22,1067.22,82.0,82.0,82.0,1,1,0.01,1.07
TECH_SUPPORT,Rajasthan,RESOLVED,KOTAK005,3,6404.120000000001,2134.706666666667,525.97,4491.51,46.666666666666664,20.0,66.0,3,3,0.06,2.13
LEGITIMATE,Odisha,ESCALATED,UNION009,1,2113.37,2113.37,2113.37,2113.37,,,,1,1,0.02,2.11
TECH_SUPPORT,Maharashtra,ESCALATED,UNION009,1,1012.87,1012.87,1012.87,1012.87,,,,1,1,0.01,1.01
JOB,Himachal Pradesh,OPEN,PNB006,1,3500.0,3500.0,3500.0,3500.0,,,,1,1,0.04,3.5
LEGITIMATE,Kerala,RESOLVED,KOTAK005,1,21138.74,21138.74,21138.74,21138.74,71.0,71.0,71.0,1,1,0.21,21.14
TECH_SUPPORT,Nagaland,RESOLVED,UNION009,2,4926.65,2463.325,1126.65,3800.0,28.5,22.0,35.0,2,2,0.05,2.46
LEGITIMATE,Gujarat,OPEN,SBI001,5,16485.809999999998,3297.1619999999994,320.23,11998.97,,,,5,5,0.16,3.3
JOB,Andhra Pradesh,ESCALATED,PNB006,1,4436.8,4436.8,4436.8,4436.8,,,,1,1,0.04,4.44
IMPERSONATION,Telangana,RESOLVED,UNION009,1,10341.77,10341.77,10341.77,10341.77,18.0,18.0,18.0,1,1,0.1,10.34
LOTTERY,Goa,ESCALATED,HDFC002,1,24059.18,24059.18,24059.18,24059.18,,,,1,1,0.24,24.06
LOTTERY,Punjab,ESCALATED,CANARA008,1,6200.0,6200.0,6200.0,6200.0,,,,1,1,0.06,6.2
TECH_SUPPORT,Andhra Pradesh,RESOLVED,PNB006,1,809.05,809.05,809.05,809.05,81.0,81.0,81.0,1,1,0.01,0.81
TECH_SUPPORT,Odisha,OPEN,AXIS004,1,2700.0,2700.0,2700.0,2700.0,,,,1,1,0.03,2.7
IMPERSONATION,Madhya Pradesh,ESCALATED,HDFC002,1,50000.0,50000.0,50000.0,50000.0,,,,1,1,0.5,50.0
INVESTMENT,Kerala,ESCALATED,UNION009,1,18400.0,18400.0,18400.0,18400.0,,,,1,1,0.18,18.4
IMPERSONATION,Haryana,ESCALATED,BOB007,1,2000.0,2000.0,2000.0,2000.0,,,,1,1,0.02,2.0
EMERGENCY,Rajasthan,RESOLVED,CANARA008,1,4700.0,4700.0,4700.0,4700.0,64.0,64.0,64.0,1,1,0.05,4.7
LEGITIMATE,Himachal Pradesh,RESOLVED,UNION009,1,28191.84,28191.84,28191.84,28191.84,73.0,73.0,73.0,1,1,0.28,28.19
LOTTERY,Arunachal Pradesh,OPEN,INDUS010,1,18300.0,18300.0,18300.0,18300.0,,,,1,1,0.18,18.3
TECH_SUPPORT,Haryana,RESOLVED,INDUS010,1,5035.86,5035.86,5035.86,5035.86,15.0,15.0,15.0,1,1,0.05,5.04
JOB,Andhra Pradesh,OPEN,INDUS010,1,3669.26,3669.26,3669.26,3669.26,,,,1,1,0.04,3.67
LEGITIMATE,West Bengal,ESCALATED,KOTAK005,1,122.83,122.83,122.83,122.83,,,,1,1,0.0,0.12
INVESTMENT,Karnataka,RESOLVED,AXIS004,1,12500.0,12500.0,12500.0,12500.0,55.0,55.0,55.0,1,1,0.13,12.5
LEGITIMATE,Rajasthan,ESCALATED,AXIS004,1,266.58,266.58,266.58,266.58,,,,1,1,0.0,0.27
TECH_SUPPORT,Assam,ESCALATED,HDFC002,1,2914.46,2914.46,2914.46,2914.46,,,,1,1,0.03,2.91
TECH_SUPPORT,Assam,OPEN,KOTAK005,1,3200.0,3200.0,3200.0,3200.0,,,,1,1,0.03,3.2
TECH_SUPPORT,Maharashtra,OPEN,HDFC002,6,26398.920000000002,4399.820000000001,500.0,10000.0,,,,6,6,0.26,4.4
LOTTERY,Rajasthan,OPEN,ICICI003,1,5168.6,5168.6,5168.6,5168.6,,,,1,1,0.05,5.17
KYC,Maharashtra,OPEN,KOTAK005,9,21244.640000000003,2360.5155555555557,700.0,5000.0,,,,9,9,0.21,2.36
INVESTMENT,Maharashtra,RESOLVED,INDUS010,1,5000.0,5000.0,5000.0,5000.0,83.0,83.0,83.0,1,1,0.05,5.0
TECH_SUPPORT,Bihar,RESOLVED,UNION009,1,4058.81,4058.81,4058.81,4058.81,14.0,14.0,14.0,1,1,0.04,4.06
LOTTERY,Rajasthan,OPEN,KOTAK005,5,13983.66,2796.732,1473.29,4477.11,,,,5,5,0.14,2.8
LEGITIMATE,Gujarat,OPEN,AXIS004,3,6457.72,2152.5733333333333,564.0,3087.53,,,,3,3,0.06,2.15
INVESTMENT,Delhi,OPEN,KOTAK005,3,101618.29,33872.76333333333,9109.01,70300.0,,,,3,3,1.02,33.87
JOB,West Bengal,OPEN,KOTAK005,2,9753.54,4876.77,1753.54,8000.0,,,,2,2,0.1,4.88
TECH_SUPPORT,Madhya Pradesh,RESOLVED,PNB006,2,12951.79,6475.895,6461.5,6490.29,40.5,16.0,65.0,2,2,0.13,6.48
LEGITIMATE,Kerala,RESOLVED,BOB007,1,553.86,553.86,553.86,553.86,46.0,46.0,46.0,1,1,0.01,0.55
KYC,Madhya Pradesh,OPEN,UNION009,5,13157.050000000001,2631.4100000000003,800.0,5000.0,,,,5,5,0.13,2.63
KYC,Gujarat,OPEN,PNB006,6,17040.91,2840.1516666666666,736.82,5000.0,,,,6,6,0.17,2.84
TECH_SUPPORT,Maharashtra,ESCALATED,BOB007,4,8379.06,2094.765,1720.22,2860.93,,,,4,4,0.08,2.09
KYC,Uttar Pradesh,ESCALATED,PNB006,3,8257.52,2752.5066666666667,1320.79,5000.0,,,,3,3,0.08,2.75
KYC,Telangana,OPEN,AXIS004,5,11160.73,2232.1459999999997,1099.58,3200.0,,,,5,5,0.11,2.23
LEGITIMATE,Maharashtra,OPEN,ICICI003,2,3435.2599999999998,1717.6299999999999,494.33,2940.93,,,,2,2,0.03,1.72
JOB,Karnataka,ESCALATED,KOTAK005,2,2873.5,1436.75,1064.12,1809.38,,,,2,2,0.03,1.44
KYC,Delhi,OPEN,SBI001,4,6400.0,1600.0,1000.0,2900.0,,,,4,4,0.06,1.6
TECH_SUPPORT,Kerala,OPEN,BOB007,3,7144.71,2381.57,1044.71,4400.0,,,,3,3,0.07,2.38
LOTTERY,Bihar,OPEN,ICICI003,4,62709.29,15677.3225,4130.87,25000.0,,,,4,4,0.63,15.68
KYC,Uttar Pradesh,OPEN,SBI001,6,11454.6,1909.1000000000001,500.0,3691.85,,,,6,6,0.11,1.91
JOB,Telangana,RESOLVED,KOTAK005,2,3128.7799999999997,1564.3899999999999,1328.78,1800.0,14.0,8.0,20.0,2,2,0.03,1.56
LEGITIMATE,Uttar Pradesh,RESOLVED,INDUS010,2,7939.53,3969.765,461.83,7477.7,61.5,58.0,65.0,2,2,0.08,3.97
LOTTERY,Maharashtra,OPEN,UNION009,8,80672.85,10084.10625,1300.0,22400.0,,,,8,8,0.81,10.08
LEGITIMATE,Andhra Pradesh,OPEN,INDUS010,1,942.49,942.49,942.49,942.49,,,,1,1,0.01,0.94
KYC,Delhi,OPEN,HDFC002,5,6390.450000000001,1278.0900000000001,500.0,2056.27,,,,5,5,0.06,1.28
JOB,Maharashtra,ESCALATED,AXIS004,3,9525.51,3175.17,1938.89,4302.39,,,,3,3,0.1,3.18
KYC,Gujarat,OPEN,BOB007,5,7538.76,1507.752,500.0,4000.0,,,,5,5,0.08,1.51
IMPERSONATION,Gujarat,OPEN,UNION009,2,7577.549999999999,3788.7749999999996,2404.86,5172.69,,,,2,2,0.08,3.79
TECH_SUPPORT,Maharashtra,RESOLVED,AXIS004,4,25819.4,6454.85,3197.03,10000.0,39.25,16.0,74.0,4,4,0.26,6.45
IMPERSONATION,Telangana,ESCALATED,BOB007,1,9093.07,9093.07,9093.07,9093.07,,,,1,1,0.09,9.09
KYC,Telangana,RESOLVED,SBI001,5,13956.59,2791.318,500.0,5000.0,40.2,13.0,71.0,5,5,0.14,2.79
KYC,Telangana,ESCALATED,UNION009,4,10422.31,2605.5775,800.0,5000.0,,,,4,4,0.1,2.61
KYC,Maharashtra,ESCALATED,INDUS010,6,14625.060000000001,2437.51,882.02,4100.0,,,,6,6,0.15,2.44
JOB,Tamil Nadu,OPEN,ICICI003,2,6047.1,3023.55,2213.2,3833.9,,,,2,2,0.06,3.02
LEGITIMATE,Tamil Nadu,ESCALATED,SBI001,1,57.25,57.25,57.25,57.25,,,,1,1,0.0,0.06
JOB,Tamil Nadu,OPEN,HDFC002,3,9913.01,3304.3366666666666,1013.01,7200.0,,,,3,3,0.1,3.3
IMPERSONATION,Maharashtra,OPEN,INDUS010,8,127982.74,15997.8425,2000.0,50000.0,,,,8,8,1.28,16.0
IMPERSONATION,Karnataka,OPEN,CANARA008,4,34142.1,8535.525,5400.0,12177.63,,,,4,4,0.34,8.54
LOTTERY,Rajasthan,RESOLVED,BOB007,2,17411.66,8705.83,4738.96,12672.7,41.0,22.0,60.0,2,2,0.17,8.71
IMPERSONATION,West Bengal,OPEN,HDFC002,2,39726.840000000004,19863.420000000002,15756.44,23970.4,,,,2,2,0.4,19.86
LEGITIMATE,Goa,RESOLVED,ICICI003,1,2941.94,2941.94,2941.94,2941.94,12.0,12.0,12.0,1,1,0.03,2.94
TECH_SUPPORT,Kerala,OPEN,AXIS004,3,7723.950000000001,2574.65,1020.02,3881.89,,,,3,3,0.08,2.57
LEGITIMATE,Mizoram,OPEN,KOTAK005,2,421.28000000000003,210.64000000000001,151.05,270.23,,,,2,2,0.0,0.21
LOTTERY,Gujarat,RESOLVED,INDUS010,4,11631.75,2907.9375,1000.0,6285.24,35.75,4.0,73.0,4,4,0.12,2.91
LEGITIMATE,West Bengal,RESOLVED,UNION009,2,1450.58,725.29,550.62,899.96,47.0,19.0,75.0,2,2,0.01,0.73
IMPERSONATION,Jharkhand,OPEN,HDFC002,2,16486.52,8243.26,7642.79,8843.73,,,,2,2,0.16,8.24
INVESTMENT,Tamil Nadu,OPEN,PNB006,1,10793.52,10793.52,10793.52,10793.52,,,,1,1,0.11,10.79
KYC,Rajasthan,OPEN,ICICI003,1,1900.0,1900.0,1900.0,1900.0,,,,1,1,0.02,1.9
JOB,Maharashtra,OPEN,INDUS010,7,14843.35,2120.4785714285713,608.35,3600.0,,,,7,7,0.15,2.12
IMPERSONATION,Rajasthan,RESOLVED,AXIS004,2,14997.029999999999,7498.514999999999,7334.91,7662.12,14.5,4.0,25.0,2,2,0.15,7.5
LEGITIMATE,Karnataka,RESOLVED,UNION009,4,45049.39,11262.3475,238.37,42991.45,54.25,38.0,78.0,4,4,0.45,11.26
JOB,Uttar Pradesh,OPEN,CANARA008,2,7700.0,3850.0,2300.0,5400.0,,,,2,2,0.08,3.85
LOTTERY,Andhra Pradesh,OPEN,KOTAK005,1,6007.36,6007.36,6007.36,6007.36,,,,1,1,0.06,6.01
IMPERSONATION,Arunachal Pradesh,RESOLVED,PNB006,1,9100.0,9100.0,9100.0,9100.0,25.0,25.0,25.0,1,1,0.09,9.1
LEGITIMATE,Telangana,OPEN,INDUS010,1,3305.34,3305.34,3305.34,3305.34,,,,1,1,0.03,3.31
IMPERSONATION,Tamil Nadu,RESOLVED,SBI001,1,5327.64,5327.64,5327.64,5327.64,13.0,13.0,13.0,1,1,0.05,5.33
INVESTMENT,Karnataka,RESOLVED,UNION009,1,12952.58,12952.58,12952.58,12952.58,35.0,35.0,35.0,1,1,0.13,12.95
KYC,Telangana,ESCALATED,SBI001,7,13602.91,1943.2728571428572,700.0,4400.0,,,,7,7,0.14,1.94
KYC,Uttar Pradesh,RESOLVED,INDUS010,2,3300.0,1650.0,1400.0,1900.0,35.5,26.0,45.0,2,2,0.03,1.65
JOB,Madhya Pradesh,ESCALATED,SBI001,1,1586.42,1586.42,1586.42,1586.42,,,,1,1,0.02,1.59
LOTTERY,Jharkhand,OPEN,SBI001,3,10805.5,3601.8333333333335,1800.0,5905.5,,,,3,3,0.11,3.6
KYC,Gujarat,OPEN,HDFC002,8,12660.07,1582.50875,500.0,3182.62,,,,8,8,0.13,1.58
LOTTERY,Himachal Pradesh,RESOLVED,ICICI003,1,2876.62,2876.62,2876.62,2876.62,81.0,81.0,81.0,1,1,0.03,2.88
LOTTERY,Bihar,RESOLVED,HDFC002,1,2087.74,2087.74,2087.74,2087.74,39.0,39.0,39.0,1,1,0.02,2.09
IMPERSONATION,Delhi,ESCALATED,PNB006,1,12500.0,12500.0,12500.0,12500.0,,,,1,1,0.13,12.5
LOTTERY,Chhattisgarh,ESCALATED,ICICI003,1,4300.43,4300.43,4300.43,4300.43,,,,1,1,0.04,4.3
JOB,Gujarat,RESOLVED,ICICI003,2,7196.08,3598.04,3200.0,3996.08,47.5,32.0,63.0,2,2,0.07,3.6
IMPERSONATION,Karnataka,ESCALATED,ICICI003,1,2000.0,2000.0,2000.0,2000.0,,,,1,1,0.02,2.0
KYC,Delhi,RESOLVED,INDUS010,3,8985.759999999998,2995.2533333333326,1050.81,5000.0,41.666666666666664,20.0,56.0,3,3,0.09,3.0
EMERGENCY,Delhi,OPEN,BOB007,1,22100.0,22100.0,22100.0,22100.0,,,,1,1,0.22,22.1
KYC,Rajasthan,ESCALATED,UNION009,2,4722.219999999999,2361.1099999999997,1700.0,3022.22,,,,2,2,0.05,2.36
KYC,Bihar,OPEN,CANARA008,3,7808.389999999999,2602.7966666666666,1391.78,5000.0,,,,3,3,0.08,2.6
KYC,Rajasthan,OPEN,CANARA008,7,20987.18,2998.1685714285713,1200.0,5000.0,,,,7,7,0.21,3.0
LEGITIMATE,Jharkhand,RESOLVED,KOTAK005,1,233.7,233.7,233.7,233.7,9.0,9.0,9.0,1,1,0.0,0.23
LEGITIMATE,Telangana,OPEN,CANARA008,5,5909.99,1181.998,174.43,2334.37,,,,5,5,0.06,1.18
KYC,Mizoram,OPEN,ICICI003,3,6345.24,2115.08,500.0,5000.0,,,,3,3,0.06,2.12
TECH_SUPPORT,Uttar Pradesh,OPEN,ICICI003,3,19000.0,6333.333333333333,3400.0,10000.0,,,,3,3,0.19,6.33
IMPERSONATION,Manipur,RESOLVED,CANARA008,1,3237.11,3237.11,3237.11,3237.11,16.0,16.0,16.0,1,1,0.03,3.24
LOTTERY,Tamil Nadu,RESOLVED,INDUS010,4,33096.07,8274.0175,4400.0,13699.96,24.75,12.0,52.0,4,4,0.33,8.27
INVESTMENT,Kerala,OPEN,HDFC002,1,7971.77,7971.77,7971.77,7971.77,,,,1,1,0.08,7.97
EMERGENCY,Kerala,OPEN,INDUS010,1,29912.53,29912.53,29912.53,29912.53,,,,1,1,0.3,29.91
TECH_SUPPORT,Punjab,OPEN,AXIS004,1,1600.0,1600.0,1600.0,1600.0,,,,1,1,0.02,1.6
KYC,Odisha,OPEN,PNB006,2,6822.13,3411.065,3081.34,3740.79,,,,2,2,0.07,3.41
IMPERSONATION,Gujarat,ESCALATED,PNB006,1,7161.58,7161.58,7161.58,7161.58,,,,1,1,0.07,7.16
INVESTMENT,Uttar Pradesh,ESCALATED,AXIS004,2,19071.15,9535.575,9400.0,9671.15,,,,2,2,0.19,9.54
JOB,Telangana,RESOLVED,AXIS004,1,3000.0,3000.0,3000.0,3000.0,14.0,14.0,14.0,1,1,0.03,3.0
INVESTMENT,Telangana,OPEN,CANARA008,3,33378.08,11126.026666666667,5411.91,20266.17,,,,3,3,0.33,11.13
KYC,Maharashtra,OPEN,BOB007,4,6789.45,1697.3625,629.74,2500.0,,,,4,4,0.07,1.7
KYC,Assam,ESCALATED,KOTAK005,1,3900.0,3900.0,3900.0,3900.0,,,,1,1,0.04,3.9
LOTTERY,Bihar,OPEN,HDFC002,2,8200.0,4100.0,3400.0,4800.0,,,,2,2,0.08,4.1
TECH_SUPPORT,West Bengal,RESOLVED,KOTAK005,1,1218.29,1218.29,1218.29,1218.29,34.0,34.0,34.0,1,1,0.01,1.22
JOB,Uttar Pradesh,OPEN,PNB006,1,900.0,900.0,900.0,900.0,,,,1,1,0.01,0.9
INVESTMENT,Tamil Nadu,OPEN,KOTAK005,1,5967.44,5967.44,5967.44,5967.44,,,,1,1,0.06,5.97
KYC,Assam,RESOLVED,SBI001,1,785.89,785.89,785.89,785.89,13.0,13.0,13.0,1,1,0.01,0.79
LOTTERY,Punjab,ESCALATED,HDFC002,1,6031.78,6031.78,6031.78,6031.78,,,,1,1,0.06,6.03
INVESTMENT,Karnataka,ESCALATED,PNB006,1,16430.92,16430.92,16430.92,16430.92,,,,1,1,0.16,16.43
INVESTMENT,Maharashtra,OPEN,SBI001,4,113568.24,28392.06,12900.0,62200.0,,,,4,4,1.14,28.39
LOTTERY,Tamil Nadu,ESCALATED,ICICI003,2,15585.63,7792.815,7221.49,8364.14,,,,2,2,0.16,7.79
KYC,Punjab,RESOLVED,CANARA008,1,2200.0,2200.0,2200.0,2200.0,88.0,88.0,88.0,1,1,0.02,2.2
KYC,Andhra Pradesh,ESCALATED,SBI001,2,2635.35,1317.675,835.35,1800.0,,,,2,2,0.03,1.32
JOB,Delhi,RESOLVED,SBI001,1,2501.55,2501.55,2501.55,2501.55,6.0,6.0,6.0,1,1,0.03,2.5
JOB,Karnataka,OPEN,ICICI003,3,11500.0,3833.3333333333335,500.0,8000.0,,,,3,3,0.12,3.83
JOB,Rajasthan,OPEN,ICICI003,1,6600.0,6600.0,6600.0,6600.0,,,,1,1,0.07,6.6
LEGITIMATE,Nagaland,RESOLVED,SBI001,2,2387.2,1193.6,469.44,1917.76,79.5,71.0,88.0,2,2,0.02,1.19
LEGITIMATE,West Bengal,RESOLVED,KOTAK005,1,7687.71,7687.71,7687.71,7687.71,64.0,64.0,64.0,1,1,0.08,7.69
JOB,Assam,OPEN,AXIS004,1,1034.46,1034.46,1034.46,1034.46,,,,1,1,0.01,1.03
KYC,Madhya Pradesh,ESCALATED,AXIS004,2,2000.0,1000.0,500.0,1500.0,,,,2,2,0.02,1.0
KYC,Punjab,RESOLVED,PNB006,3,10900.91,3633.6366666666668,900.91,5000.0,54.333333333333336,44.0,60.0,3,3,0.11,3.63
LEGITIMATE,Jharkhand,OPEN,BOB007,1,18115.29,18115.29,18115.29,18115.29,,,,1,1,0.18,18.12
INVESTMENT,Kerala,OPEN,AXIS004,1,40200.0,40200.0,40200.0,40200.0,,,,1,1,0.4,40.2
LOTTERY,Punjab,ESCALATED,ICICI003,1,2813.07,2813.07,2813.07,2813.07,,,,1,1,0.03,2.81
TECH_SUPPORT,Karnataka,OPEN,UNION009,2,4941.04,2470.52,1741.04,3200.0,,,,2,2,0.05,2.47
LEGITIMATE,Karnataka,ESCALATED,PNB006,2,38054.54,19027.27,1634.65,36419.89,,,,2,2,0.38,19.03
KYC,Tamil Nadu,OPEN,BOB007,6,6980.860000000001,1163.4766666666667,500.0,2255.71,,,,6,6,0.07,1.16
LOTTERY,Meghalaya,OPEN,UNION009,1,21940.71,21940.71,21940.71,21940.71,,,,1,1,0.22,21.94
TECH_SUPPORT,Arunachal Pradesh,OPEN,PNB006,1,1811.55,1811.55,1811.55,1811.55,,,,1,1,0.02,1.81
TECH_SUPPORT,Tamil Nadu,ESCALATED,UNION009,1,3315.46,3315.46,3315.46,3315.46,,,,1,1,0.03,3.32
JOB,Rajasthan,ESCALATED,INDUS010,1,3700.37,3700.37,3700.37,3700.37,,,,1,1,0.04,3.7
EMERGENCY,Uttar Pradesh,RESOLVED,BOB007,1,20242.84,20242.84,20242.84,20242.84,42.0,42.0,42.0,1,1,0.2,20.24
IMPERSONATION,Karnataka,RESOLVED,CANARA008,1,7300.0,7300.0,7300.0,7300.0,62.0,62.0,62.0,1,1,0.07,7.3
IMPERSONATION,Tamil Nadu,OPEN,HDFC002,2,50262.19,25131.095,15462.19,34800.0,,,,2,2,0.5,25.13
LEGITIMATE,West Bengal,ESCALATED,CANARA008,1,3906.81,3906.81,3906.81,3906.81,,,,1,1,0.04,3.91
EMERGENCY,Uttar Pradesh,OPEN,HDFC002,1,50000.0,50000.0,50000.0,50000.0,,,,1,1,0.5,50.0
JOB,Rajasthan,RESOLVED,BOB007,1,3300.0,3300.0,3300.0,3300.0,74.0,74.0,74.0,1,1,0.03,3.3
LEGITIMATE,Uttar Pradesh,ESCALATED,ICICI003,3,45134.24,15044.746666666666,11716.21,17824.29,,,,3,3,0.45,15.04
IMPERSONATION,Himachal Pradesh,ESCALATED,PNB006,1,23677.93,23677.93,23677.93,23677.93,,,,1,1,0.24,23.68
IMPERSONATION,Madhya Pradesh,RESOLVED,PNB006,1,13977.5,13977.5,13977.5,13977.5,36.0,36.0,36.0,1,1,0.14,13.98
LEGITIMATE,West Bengal,RESOLVED,PNB006,2,49350.46,24675.23,184.22,49166.24,25.5,5.0,46.0,2,2,0.49,24.68
KYC,Telangana,ESCALATED,CANARA008,3,6065.59,2021.8633333333335,508.22,5000.0,,,,3,3,0.06,2.02
KYC,Meghalaya,OPEN,HDFC002,1,3358.92,3358.92,3358.92,3358.92,,,,1,1,0.03,3.36
EMERGENCY,Karnataka,RESOLVED,AXIS004,1,14600.0,14600.0,14600.0,14600.0,45.0,45.0,45.0,1,1,0.15,14.6
LEGITIMATE,Karnataka,RESOLVED,SBI001,2,4433.79,2216.895,495.88,3937.91,56.5,25.0,88.0,2,2,0.04,2.22
EMERGENCY,Karnataka,RESOLVED,PNB006,1,4100.8,4100.8,4100.8,4100.8,80.0,80.0,80.0,1,1,0.04,4.1
TECH_SUPPORT,Haryana,RESOLVED,AXIS004,1,500.0,500.0,500.0,500.0,45.0,45.0,45.0,1,1,0.01,0.5
LOTTERY,Uttar Pradesh,OPEN,CANARA008,3,35100.0,11700.0,1000.0,25000.0,,,,3,3,0.35,11.7
IMPERSONATION,Delhi,ESCALATED,INDUS010,1,17617.21,17617.21,17617.21,17617.21,,,,1,1,0.18,17.62
LOTTERY,Rajasthan,OPEN,PNB006,5,18690.33,3738.0660000000003,1200.0,9490.33,,,,5,5,0.19,3.74
LOTTERY,Tamil Nadu,ESCALATED,CANARA008,1,11900.0,11900.0,11900.0,11900.0,,,,1,1,0.12,11.9
IMPERSONATION,Karnataka,RESOLVED,PNB006,1,5567.94,5567.94,5567.94,5567.94,43.0,43.0,43.0,1,1,0.06,5.57
LOTTERY,Maharashtra,ESCALATED,BOB007,1,7300.0,7300.0,7300.0,7300.0,,,,1,1,0.07,7.3
KYC,Arunachal Pradesh,RESOLVED,CANARA008,1,1970.45,1970.45,1970.45,1970.45,53.0,53.0,53.0,1,1,0.02,1.97
EMERGENCY,Maharashtra,OPEN,HDFC002,1,12400.0,12400.0,12400.0,12400.0,,,,1,1,0.12,12.4
EMERGENCY,Andhra Pradesh,OPEN,AXIS004,1,6315.11,6315.11,6315.11,6315.11,,,,1,1,0.06,6.32
JOB,Karnataka,RESOLVED,AXIS004,1,3012.21,3012.21,3012.21,3012.21,12.0,12.0,12.0,1,1,0.03,3.01
INVESTMENT,Andhra Pradesh,ESCALATED,AXIS004,1,31189.92,31189.92,31189.92,31189.92,,,,1,1,0.31,31.19
KYC,Andhra Pradesh,OPEN,KOTAK005,1,1701.91,1701.91,1701.91,1701.91,,,,1,1,0.02,1.7
LOTTERY,Odisha,ESCALATED,BOB007,1,4905.58,4905.58,4905.58,4905.58,,,,1,1,0.05,4.91
IMPERSONATION,Tamil Nadu,OPEN,KOTAK005,1,7961.04,7961.04,7961.04,7961.04,,,,1,1,0.08,7.96
IMPERSONATION,Karnataka,ESCALATED,HDFC002,1,2892.22,2892.22,2892.22,2892.22,,,,1,1,0.03,2.89
IMPERSONATION,Tamil Nadu,OPEN,PNB006,3,58203.12,19401.04,6760.8,41000.0,,,,3,3,0.58,19.4
