scam_type,complaint_status,bank_id,sender_state,complaint_count,avg_resolution_days,min_resolution_days,max_resolution_days,total_amount_involved,affected_users,linked_txns,amount_involved_lakhs,avg_loss_per_user
LOTTERY,OPEN,HDFC002,Goa,1,,,,3400.0,1,1,0.03,3400.0
TECH_SUPPORT,RESOLVED,HDFC002,Delhi,2,51.0,37.0,65.0,3000.8,2,2,0.03,1500.0
JOB,ESCALATED,PNB006,Mizoram,1,,,,2488.72,1,1,0.02,2489.0
LOTTERY,OPEN,SBI001,Punjab,1,,,,9000.0,1,1,0.09,9000.0
INVESTMENT,OPEN,ICICI003,Haryana,1,,,,56619.41,1,1,0.57,56619.0
LOTTERY,RESOLVED,INDUS010,Uttar Pradesh,1,39.0,39.0,39.0,25000.0,1,1,0.25,25000.0
LOTTERY,ESCALATED,KOTAK005,Kerala,1,,,,1057.54,1,1,0.01,1058.0
JOB,ESCALATED,SBI001,Delhi,3,,,,7799.8,3,3,0.08,2600.0
INVESTMENT,ESCALATED,UNION009,Delhi,1,,,,31528.75,1,1,0.32,31529.0
EMERGENCY,OPEN,CANARA008,Assam,1,,,,9620.44,1,1,0.1,9620.0
LOTTERY,OPEN,HDFC002,Andhra Pradesh,3,,,,46240.83,3,3,0.46,15414.0
LEGITIMATE,RESOLVED,UNION009,Gujarat,1,10.0,10.0,10.0,1259.34,1,1,0.01,1259.0
IMPERSONATION,ESCALATED,AXIS004,Madhya Pradesh,1,,,,5610.09,1,1,0.06,5610.0
LOTTERY,ESCALATED,KOTAK005,Himachal Pradesh,1,,,,2094.33,1,1,0.02,2094.0
KYC,ESCALATED,AXIS004,Arunachal Pradesh,1,,,,2100.0,1,1,0.02,2100.0
JOB,OPEN,HDFC002,Himachal Pradesh,1,,,,4200.0,1,1,0.04,4200.0
IMPERSONATION,OPEN,UNION009,Arunachal Pradesh,1,,,,50000.0,1,1,0.5,50000.0
LOTTERY,ESCALATED,HDFC002,Goa,1,,,,24059.18,1,1,0.24,24059.0
KYC,ESCALATED,BOB007,Haryana,1,,,,3600.0,1,1,0.04,3600.0
KYC,OPEN,KOTAK005,Arunachal Pradesh,1,,,,4376.0,1,1,0.04,4376.0
TECH_SUPPORT,OPEN,INDUS010,Gujarat,2,,,,3300.4700000000003,2,2,0.03,1650.0
IMPERSONATION,RESOLVED,SBI001,Tamil Nadu,1,13.0,13.0,13.0,5327.64,1,1,0.05,5328.0
JOB,ESCALATED,KOTAK005,Uttar Pradesh,1,,,,6670.63,1,1,0.07,6671.0
LEGITIMATE,OPEN,HDFC002,West Bengal,1,,,,324.4,1,1,0.0,324.0
TECH_SUPPORT,RESOLVED,UNION009,Bihar,1,14.0,14.0,14.0,4058.81,1,1,0.04,4059.0
INVESTMENT,ESCALATED,KOTAK005,Karnataka,1,,,,10800.0,1,1,0.11,10800.0
LEGITIMATE,ESCALATED,HDFC002,Delhi,2,,,,2431.9300000000003,2,2,0.02,1216.0
KYC,OPEN,BOB007,Haryana,1,,,,2526.62,1,1,0.03,2527.0
JOB,ESCALATED,BOB007,Karnataka,1,,,,3023.69,1,1,0.03,3024.0
LOTTERY,RESOLVED,ICICI003,Andhra Pradesh,1,44.0,44.0,44.0,3500.0,1,1,0.04,3500.0
IMPERSONATION,RESOLVED,HDFC002,Karnataka,2,25.5,16.0,35.0,29926.21,2,2,0.3,14963.0
JOB,RESOLVED,KOTAK005,Tamil Nadu,1,15.0,15.0,15.0,1200.0,1,1,0.01,1200.0
LEGITIMATE,OPEN,INDUS010,Jharkhand,1,,,,736.45,1,1,0.01,736.0
LEGITIMATE,ESCALATED,BOB007,Tamil Nadu,1,,,,266.59,1,1,0.0,267.0
KYC,ESCALATED,PNB006,West Bengal,3,,,,5862.53,3,3,0.06,1954.0
JOB,OPEN,AXIS004,Arunachal Pradesh,1,,,,2594.89,1,1,0.03,2595.0
IMPERSONATION,ESCALATED,KOTAK005,Haryana,1,,,,50000.0,1,1,0.5,50000.0
KYC,ESCALATED,UNION009,Haryana,1,,,,1228.88,1,1,0.01,1229.0
TECH_SUPPORT,OPEN,KOTAK005,Maharashtra,6,,,,22565.410000000003,6,6,0.23,3761.0
KYC,OPEN,INDUS010,Maharashtra,17,,,,41341.31,17,17,0.41,2432.0
JOB,RESOLVED,UNION009,Uttar Pradesh,1,75.0,75.0,75.0,1388.91,1,1,0.01,1389.0
JOB,OPEN,AXIS004,Haryana,3,,,,8107.289999999999,3,3,0.08,2702.0
LOTTERY,RESOLVED,KOTAK005,Odisha,1,49.0,49.0,49.0,6228.56,1,1,0.06,6229.0
LOTTERY,RESOLVED,AXIS004,Karnataka,4,34.5,10.0,69.0,16821.13,4,4,0.17,4205.0
KYC,OPEN,CANARA008,Maharashtra,11,,,,18452.45,11,11,0.18,1677.0
JOB,OPEN,HDFC002,West Bengal,1,,,,4091.33,1,1,0.04,4091.0
LEGITIMATE,ESCALATED,SBI001,Rajasthan,1,,,,7048.15,1,1,0.07,7048.0
TECH_SUPPORT,RESOLVED,AXIS004,Uttar Pradesh,1,48.0,48.0,48.0,4610.2,1,1,0.05,4610.0
LOTTERY,RESOLVED,UNION009,West Bengal,2,50.0,19.0,81.0,6192.74,2,2,0.06,3096.0
KYC,OPEN,AXIS004,Gujarat,4,,,,13386.96,4,4,0.13,3347.0
TECH_SUPPORT,OPEN,CANARA008,Gujarat,6,,,,20642.670000000002,6,6,0.21,3440.0
TECH_SUPPORT,OPEN,BOB007,Telangana,4,,,,9957.88,4,4,0.1,2489.0
KYC,OPEN,HDFC002,West Bengal,7,,,,16874.41,7,7,0.17,2411.0
JOB,OPEN,INDUS010,Maharashtra,7,,,,14843.35,7,7,0.15,2120.0
JOB,RESOLVED,PNB006,West Bengal,2,29.5,11.0,48.0,4832.110000000001,2,2,0.05,2416.0
LEGITIMATE,OPEN,INDUS010,Karnataka,4,,,,26935.06,4,4,0.27,6734.0
IMPERSONATION,OPEN,KOTAK005,Maharashtra,7,,,,47694.43000000001,7,7,0.48,6813.0
TECH_SUPPORT,OPEN,PNB006,Telangana,6,,,,21626.5,6,6,0.22,3604.0
LOTTERY,RESOLVED,PNB006,Gujarat,1,74.0,74.0,74.0,1200.0,1,1,0.01,1200.0
LOTTERY,ESCALATED,KOTAK005,Tamil Nadu,2,,,,9124.29,2,2,0.09,4562.0
LEGITIMATE,ESCALATED,UNION009,Gujarat,1,,,,680.88,1,1,0.01,681.0
INVESTMENT,ESCALATED,AXIS004,Andhra Pradesh,1,,,,31189.92,1,1,0.31,31190.0
LOTTERY,RESOLVED,CANARA008,Meghalaya,1,16.0,16.0,16.0,6800.0,1,1,0.07,6800.0
JOB,OPEN,SBI001,Telangana,3,,,,8476.039999999999,3,3,0.08,2825.0
LEGITIMATE,OPEN,PNB006,Andhra Pradesh,1,,,,289.59,1,1,0.0,290.0
TECH_SUPPORT,OPEN,INDUS010,Karnataka,4,,,,8794.58,4,4,0.09,2199.0
LOTTERY,OPEN,BOB007,Tamil Nadu,4,,,,19566.18,4,4,0.2,4892.0
JOB,OPEN,UNION009,Rajasthan,2,,,,3000.0,2,2,0.03,1500.0
KYC,ESCALATED,AXIS004,Haryana,2,,,,4684.86,2,2,0.05,2342.0
KYC,ESCALATED,ICICI003,Karnataka,2,,,,3759.65,2,2,0.04,1880.0
LEGITIMATE,OPEN,KOTAK005,Rajasthan,2,,,,1193.19,2,2,0.01,597.0
LOTTERY,ESCALATED,PNB006,Maharashtra,1,,,,4371.41,1,1,0.04,4371.0
LEGITIMATE,OPEN,AXIS004,Uttar Pradesh,4,,,,4746.18,4,4,0.05,1187.0
JOB,ESCALATED,CANARA008,Delhi,1,,,,2500.0,1,1,0.03,2500.0
TECH_SUPPORT,RESOLVED,SBI001,Rajasthan,1,68.0,68.0,68.0,3203.15,1,1,0.03,3203.0
TECH_SUPPORT,OPEN,PNB006,Karnataka,1,,,,9929.24,1,1,0.1,9929.0
TECH_SUPPORT,RESOLVED,INDUS010,Tamil Nadu,5,53.2,42.0,66.0,13263.04,5,5,0.13,2653.0
JOB,RESOLVED,UNION009,Gujarat,1,59.0,59.0,59.0,2891.66,1,1,0.03,2892.0
IMPERSONATION,OPEN,CANARA008,Telangana,3,,,,35930.490000000005,3,3,0.36,11977.0
IMPERSONATION,ESCALATED,PNB006,Madhya Pradesh,1,,,,5300.0,1,1,0.05,5300.0
TECH_SUPPORT,OPEN,BOB007,Andhra Pradesh,2,,,,4854.82,2,2,0.05,2427.0
LEGITIMATE,RESOLVED,SBI001,Punjab,1,51.0,51.0,51.0,2397.95,1,1,0.02,2398.0
LEGITIMATE,OPEN,PNB006,Madhya Pradesh,1,,,,4784.18,1,1,0.05,4784.0
TECH_SUPPORT,ESCALATED,HDFC002,Maharashtra,2,,,,4383.72,2,2,0.04,2192.0
LOTTERY,RESOLVED,KOTAK005,Telangana,4,40.75,26.0,51.0,16404.46,4,4,0.16,4101.0
JOB,OPEN,SBI001,West Bengal,3,,,,9080.48,3,3,0.09,3027.0
KYC,RESOLVED,UNION009,Himachal Pradesh,1,37.0,37.0,37.0,1934.45,1,1,0.02,1934.0
KYC,OPEN,INDUS010,Nagaland,1,,,,2800.0,1,1,0.03,2800.0
TECH_SUPPORT,ESCALATED,BOB007,Maharashtra,4,,,,8379.06,4,4,0.08,2095.0
LOTTERY,OPEN,PNB006,Maharashtra,5,,,,27705.91,5,5,0.28,5541.0
TECH_SUPPORT,RESOLVED,PNB006,Rajasthan,1,71.0,71.0,71.0,2100.0,1,1,0.02,2100.0
KYC,RESOLVED,CANARA008,Karnataka,5,37.6,16.0,59.0,15845.35,5,5,0.16,3169.0
INVESTMENT,OPEN,UNION009,Rajasthan,1,,,,21500.0,1,1,0.22,21500.0
LOTTERY,RESOLVED,UNION009,Himachal Pradesh,1,78.0,78.0,78.0,11100.0,1,1,0.11,11100.0
IMPERSONATION,RESOLVED,UNION009,West Bengal,1,80.0,80.0,80.0,10300.0,1,1,0.1,10300.0
IMPERSONATION,OPEN,PNB006,Punjab,1,,,,4822.66,1,1,0.05,4823.0
TECH_SUPPORT,OPEN,INDUS010,Mizoram,1,,,,4992.42,1,1,0.05,4992.0
INVESTMENT,OPEN,SBI001,Delhi,1,,,,12200.0,1,1,0.12,12200.0
LEGITIMATE,ESCALATED,UNION009,Andhra Pradesh,1,,,,48.62,1,1,0.0,49.0
LEGITIMATE,OPEN,CANARA008,Rajasthan,4,,,,34958.92,4,4,0.35,8740.0
IMPERSONATION,RESOLVED,ICICI003,Delhi,1,31.0,31.0,31.0,7400.0,1,1,0.07,7400.0
LEGITIMATE,OPEN,CANARA008,Himachal Pradesh,1,,,,633.76,1,1,0.01,634.0
LEGITIMATE,OPEN,PNB006,Jharkhand,1,,,,28664.47,1,1,0.29,28664.0
LOTTERY,OPEN,UNION009,Bihar,2,,,,9062.8,2,2,0.09,4531.0
TECH_SUPPORT,ESCALATED,CANARA008,Delhi,1,,,,3800.0,1,1,0.04,3800.0
INVESTMENT,OPEN,AXIS004,Chhattisgarh,1,,,,14000.0,1,1,0.14,14000.0
KYC,RESOLVED,PNB006,West Bengal,2,15.0,7.0,23.0,6391.74,2,2,0.06,3196.0
EMERGENCY,OPEN,BOB007,Uttar Pradesh,1,,,,9568.07,1,1,0.1,9568.0
KYC,OPEN,KOTAK005,Punjab,3,,,,5457.98,3,3,0.05,1819.0
LOTTERY,OPEN,PNB006,Rajasthan,5,,,,18690.33,5,5,0.19,3738.0
JOB,OPEN,INDUS010,West Bengal,3,,,,12827.060000000001,3,3,0.13,4276.0
LOTTERY,RESOLVED,KOTAK005,Haryana,2,54.0,28.0,80.0,12000.0,2,2,0.12,6000.0
LEGITIMATE,OPEN,BOB007,Punjab,1,,,,4749.97,1,1,0.05,4750.0
LOTTERY,ESCALATED,ICICI003,Delhi,3,,,,12000.0,3,3,0.12,4000.0
IMPERSONATION,OPEN,PNB006,Jharkhand,1,,,,12900.0,1,1,0.13,12900.0
LEGITIMATE,OPEN,KOTAK005,Delhi,2,,,,2232.36,2,2,0.02,1116.0
LOTTERY,RESOLVED,SBI001,Madhya Pradesh,3,50.0,36.0,70.0,18254.19,3,3,0.18,6085.0
KYC,RESOLVED,PNB006,Madhya Pradesh,2,61.5,35.0,88.0,3296.51,2,2,0.03,1648.0
TECH_SUPPORT,OPEN,CANARA008,Telangana,2,,,,8986.75,2,2,0.09,4493.0
LOTTERY,RESOLVED,UNION009,Assam,2,35.0,28.0,42.0,31647.85,2,2,0.32,15824.0
LEGITIMATE,OPEN,BOB007,Gujarat,2,,,,1069.0,2,2,0.01,535.0
LEGITIMATE,RESOLVED,INDUS010,Goa,1,10.0,10.0,10.0,3107.57,1,1,0.03,3108.0
KYC,OPEN,HDFC002,Uttarakhand,2,,,,5797.5599999999995,2,2,0.06,2899.0
LOTTERY,RESOLVED,KOTAK005,Uttar Pradesh,3,42.333333333333336,30.0,58.0,20962.75,3,3,0.21,6988.0
EMERGENCY,RESOLVED,INDUS010,Tamil Nadu,1,19.0,19.0,19.0,4111.45,1,1,0.04,4111.0
TECH_SUPPORT,RESOLVED,AXIS004,Telangana,1,3.0,3.0,3.0,4500.0,1,1,0.05,4500.0
TECH_SUPPORT,RESOLVED,INDUS010,Maharashtra,1,56.0,56.0,56.0,4743.63,1,1,0.05,4744.0
LOTTERY,OPEN,HDFC002,Rajasthan,1,,,,4100.0,1,1,0.04,4100.0
LOTTERY,ESCALATED,HDFC002,Gujarat,1,,,,13300.0,1,1,0.13,13300.0
EMERGENCY,OPEN,BOB007,Maharashtra,4,,,,80149.20999999999,4,4,0.8,20037.0
LOTTERY,OPEN,HDFC002,West Bengal,3,,,,19900.0,3,3,0.2,6633.0
KYC,ESCALATED,BOB007,Tamil Nadu,2,,,,3873.7200000000003,2,2,0.04,1937.0
TECH_SUPPORT,ESCALATED,KOTAK005,Assam,1,,,,2820.87,1,1,0.03,2821.0
JOB,RESOLVED,CANARA008,Maharashtra,3,43.0,23.0,53.0,4500.0,3,3,0.05,1500.0
LEGITIMATE,OPEN,CANARA008,Uttar Pradesh,1,,,,2758.69,1,1,0.03,2759.0
KYC,ESCALATED,SBI001,Andhra Pradesh,2,,,,2635.35,2,2,0.03,1318.0
JOB,ESCALATED,SBI001,Madhya Pradesh,1,,,,1586.42,1,1,0.02,1586.0
JOB,OPEN,BOB007,Kerala,1,,,,804.94,1,1,0.01,805.0
LEGITIMATE,RESOLVED,SBI001,Madhya Pradesh,2,7.0,3.0,11.0,9331.18,2,2,0.09,4666.0
KYC,OPEN,KOTAK005,Haryana,1,,,,900.0,1,1,0.01,900.0
TECH_SUPPORT,OPEN,KOTAK005,Tripura,1,,,,6144.1,1,1,0.06,6144.0
KYC,RESOLVED,AXIS004,Telangana,2,75.5,64.0,87.0,1254.1100000000001,2,2,0.01,627.0
KYC,OPEN,UNION009,Punjab,1,,,,2200.0,1,1,0.02,2200.0
JOB,ESCALATED,AXIS004,Arunachal Pradesh,1,,,,963.79,1,1,0.01,964.0
IMPERSONATION,RESOLVED,KOTAK005,Haryana,1,65.0,65.0,65.0,23114.11,1,1,0.23,23114.0
LEGITIMATE,OPEN,PNB006,Maharashtra,3,,,,9650.77,3,3,0.1,3217.0
TECH_SUPPORT,ESCALATED,CANARA008,Kerala,1,,,,1100.0,1,1,0.01,1100.0
TECH_SUPPORT,OPEN,INDUS010,Jharkhand,3,,,,4730.67,3,3,0.05,1577.0
KYC,ESCALATED,KOTAK005,Maharashtra,2,,,,7638.51,2,2,0.08,3819.0
INVESTMENT,RESOLVED,KOTAK005,Himachal Pradesh,1,47.0,47.0,47.0,5000.0,1,1,0.05,5000.0
LEGITIMATE,OPEN,SBI001,Jharkhand,1,,,,874.11,1,1,0.01,874.0
LEGITIMATE,RESOLVED,PNB006,Madhya Pradesh,1,37.0,37.0,37.0,1919.07,1,1,0.02,1919.0
JOB,ESCALATED,UNION009,Mizoram,1,,,,1900.0,1,1,0.02,1900.0
TECH_SUPPORT,ESCALATED,PNB006,Rajasthan,2,,,,2878.2200000000003,2,2,0.03,1439.0
IMPERSONATION,ESCALATED,UNION009,Telangana,1,,,,3430.91,1,1,0.03,3431.0
KYC,RESOLVED,AXIS004,West Bengal,2,55.5,25.0,86.0,6005.3,2,2,0.06,3003.0
INVESTMENT,RESOLVED,SBI001,Madhya Pradesh,1,41.0,41.0,41.0,7359.26,1,1,0.07,7359.0
IMPERSONATION,ESCALATED,BOB007,Haryana,1,,,,2000.0,1,1,0.02,2000.0
LOTTERY,ESCALATED,BOB007,Gujarat,1,,,,1299.74,1,1,0.01,1300.0
INVESTMENT,RESOLVED,CANARA008,Tamil Nadu,2,35.0,9.0,61.0,114864.8,2,2,1.15,57432.0
TECH_SUPPORT,RESOLVED,AXIS004,Goa,1,49.0,49.0,49.0,2321.91,1,1,0.02,2322.0
INVESTMENT,OPEN,HDFC002,Madhya Pradesh,1,,,,5000.0,1,1,0.05,5000.0
KYC,RESOLVED,ICICI003,Bihar,2,42.5,25.0,60.0,7750.37,2,2,0.08,3875.0
IMPERSONATION,RESOLVED,BOB007,Gujarat,2,60.0,51.0,69.0,55138.18,2,2,0.55,27569.0
INVESTMENT,RESOLVED,AXIS004,Delhi,1,17.0,17.0,17.0,11868.14,1,1,0.12,11868.0
LEGITIMATE,OPEN,CANARA008,West Bengal,2,,,,559.64,2,2,0.01,280.0
TECH_SUPPORT,OPEN,BOB007,West Bengal,3,,,,9023.3,3,3,0.09,3008.0
JOB,OPEN,PNB006,Tamil Nadu,1,,,,1374.47,1,1,0.01,1374.0
KYC,OPEN,KOTAK005,Goa,1,,,,3200.0,1,1,0.03,3200.0
TECH_SUPPORT,OPEN,AXIS004,Himachal Pradesh,1,,,,500.0,1,1,0.01,500.0
TECH_SUPPORT,OPEN,BOB007,Bihar,1,,,,6994.3,1,1,0.07,6994.0
TECH_SUPPORT,OPEN,UNION009,Kerala,3,,,,4371.6,3,3,0.04,1457.0
INVESTMENT,OPEN,PNB006,Telangana,1,,,,23943.56,1,1,0.24,23944.0
IMPERSONATION,OPEN,HDFC002,Haryana,2,,,,8307.810000000001,2,2,0.08,4154.0
LEGITIMATE,RESOLVED,INDUS010,Karnataka,1,14.0,14.0,14.0,2250.31,1,1,0.02,2250.0
TECH_SUPPORT,OPEN,PNB006,Arunachal Pradesh,1,,,,1811.55,1,1,0.02,1812.0
IMPERSONATION,OPEN,ICICI003,Odisha,1,,,,8400.0,1,1,0.08,8400.0
JOB,ESCALATED,SBI001,Maharashtra,2,,,,5446.21,2,2,0.05,2723.0
KYC,OPEN,INDUS010,Arunachal Pradesh,2,,,,1639.78,2,2,0.02,820.0
IMPERSONATION,ESCALATED,CANARA008,Maharashtra,1,,,,17321.16,1,1,0.17,17321.0
TECH_SUPPORT,OPEN,UNION009,Gujarat,3,,,,10291.529999999999,3,3,0.1,3431.0
KYC,OPEN,CANARA008,Bihar,3,,,,7808.389999999999,3,3,0.08,2603.0
LEGITIMATE,OPEN,BOB007,Bihar,1,,,,10450.09,1,1,0.1,10450.0
LOTTERY,ESCALATED,BOB007,West Bengal,1,,,,5507.51,1,1,0.06,5508.0
IMPERSONATION,OPEN,HDFC002,Uttar Pradesh,2,,,,19996.59,2,2,0.2,9998.0
TECH_SUPPORT,OPEN,CANARA008,Andhra Pradesh,4,,,,16111.130000000001,4,4,0.16,4028.0
TECH_SUPPORT,ESCALATED,KOTAK005,Uttarakhand,1,,,,2600.0,1,1,0.03,2600.0
IMPERSONATION,ESCALATED,SBI001,Maharashtra,3,,,,47988.31,3,3,0.48,15996.0
LEGITIMATE,ESCALATED,INDUS010,Jharkhand,1,,,,6206.1,1,1,0.06,6206.0
JOB,ESCALATED,INDUS010,Chhattisgarh,1,,,,5069.5,1,1,0.05,5070.0
LOTTERY,ESCALATED,HDFC002,Andhra Pradesh,2,,,,42033.979999999996,2,2,0.42,21017.0
KYC,OPEN,SBI001,Odisha,1,,,,3576.07,1,1,0.04,3576.0
LOTTERY,RESOLVED,ICICI003,Delhi,2,28.0,11.0,45.0,26953.55,2,2,0.27,13477.0
IMPERSONATION,ESCALATED,HDFC002,Kerala,1,,,,3500.0,1,1,0.04,3500.0
INVESTMENT,OPEN,INDUS010,Tamil Nadu,2,,,,42073.13,2,2,0.42,21037.0
LOTTERY,ESCALATED,INDUS010,Kerala,2,,,,4885.5599999999995,2,2,0.05,2443.0
LOTTERY,OPEN,BOB007,Delhi,3,,,,33435.979999999996,3,3,0.33,11145.0
LOTTERY,ESCALATED,BOB007,Uttar Pradesh,1,,,,2920.62,1,1,0.03,2921.0
INVESTMENT,OPEN,SBI001,Uttar Pradesh,4,,,,26279.239999999998,4,4,0.26,6570.0
LEGITIMATE,OPEN,ICICI003,Uttar Pradesh,5,,,,11244.51,5,5,0.11,2249.0
EMERGENCY,OPEN,PNB006,Assam,1,,,,4400.0,1,1,0.04,4400.0
INVESTMENT,OPEN,BOB007,Andhra Pradesh,1,,,,9771.7,1,1,0.1,9772.0
JOB,OPEN,ICICI003,Karnataka,3,,,,11500.0,3,3,0.12,3833.0
LOTTERY,OPEN,HDFC002,Kerala,2,,,,9200.0,2,2,0.09,4600.0
LOTTERY,ESCALATED,CANARA008,Telangana,2,,,,7910.54,2,2,0.08,3955.0
KYC,OPEN,CANARA008,Telangana,6,,,,7257.91,6,6,0.07,1210.0
LEGITIMATE,RESOLVED,SBI001,Uttar Pradesh,3,46.0,24.0,77.0,3240.0899999999997,3,3,0.03,1080.0
KYC,OPEN,BOB007,Telangana,12,,,,22519.68,12,12,0.23,1877.0
KYC,RESOLVED,PNB006,Telangana,4,54.0,22.0,79.0,6821.64,4,4,0.07,1705.0
LOTTERY,RESOLVED,AXIS004,Maharashtra,3,39.666666666666664,19.0,59.0,44040.48,3,3,0.44,14680.0
LOTTERY,OPEN,UNION009,Andhra Pradesh,3,,,,70136.27,3,3,0.7,23379.0
LOTTERY,RESOLVED,PNB006,Tamil Nadu,4,56.25,28.0,88.0,20000.0,4,4,0.2,5000.0
LEGITIMATE,OPEN,HDFC002,Bihar,2,,,,4293.99,2,2,0.04,2147.0
KYC,OPEN,BOB007,Delhi,2,,,,5369.36,2,2,0.05,2685.0
KYC,RESOLVED,KOTAK005,Telangana,3,45.0,37.0,55.0,8712.29,3,3,0.09,2904.0
LOTTERY,ESCALATED,UNION009,Karnataka,2,,,,14076.97,2,2,0.14,7038.0
INVESTMENT,OPEN,SBI001,Rajasthan,1,,,,21665.56,1,1,0.22,21666.0
IMPERSONATION,ESCALATED,HDFC002,Assam,1,,,,2000.0,1,1,0.02,2000.0
KYC,ESCALATED,UNION009,Bihar,2,,,,2218.67,2,2,0.02,1109.0
KYC,ESCALATED,HDFC002,Manipur,1,,,,5000.0,1,1,0.05,5000.0
IMPERSONATION,OPEN,CANARA008,Maharashtra,1,,,,9600.0,1,1,0.1,9600.0
INVESTMENT,ESCALATED,SBI001,Karnataka,1,,,,14467.39,1,1,0.14,14467.0
IMPERSONATION,RESOLVED,INDUS010,Kerala,1,40.0,40.0,40.0,35300.0,1,1,0.35,35300.0
TECH_SUPPORT,OPEN,CANARA008,West Bengal,2,,,,3800.0,2,2,0.04,1900.0
JOB,RESOLVED,CANARA008,Haryana,1,80.0,80.0,80.0,900.0,1,1,0.01,900.0
INVESTMENT,ESCALATED,KOTAK005,Uttar Pradesh,1,,,,6900.0,1,1,0.07,6900.0
TECH_SUPPORT,OPEN,ICICI003,Madhya Pradesh,3,,,,8555.84,3,3,0.09,2852.0
KYC,OPEN,INDUS010,Karnataka,10,,,,23260.04,10,10,0.23,2326.0
IMPERSONATION,OPEN,PNB006,Mizoram,2,,,,37100.0,2,2,0.37,18550.0
LOTTERY,RESOLVED,KOTAK005,Delhi,5,33.6,4.0,80.0,21049.97,5,5,0.21,4210.0
IMPERSONATION,RESOLVED,ICICI003,Karnataka,6,55.333333333333336,23.0,83.0,77640.35,6,6,0.78,12940.0
KYC,OPEN,HDFC002,Uttar Pradesh,7,,,,17172.329999999998,7,7,0.17,2453.0
INVESTMENT,ESCALATED,ICICI003,Gujarat,1,,,,19500.0,1,1,0.2,19500.0
JOB,OPEN,CANARA008,Rajasthan,2,,,,3442.9800000000005,2,2,0.03,1721.0
TECH_SUPPORT,RESOLVED,PNB006,Gujarat,4,60.75,44.0,85.0,7581.47,4,4,0.08,1895.0
LEGITIMATE,OPEN,CANARA008,Maharashtra,6,,,,9106.57,6,6,0.09,1518.0
KYC,OPEN,KOTAK005,Odisha,2,,,,3485.67,2,2,0.03,1743.0
LEGITIMATE,OPEN,CANARA008,Karnataka,5,,,,19508.09,5,5,0.2,3902.0
KYC,OPEN,ICICI003,Delhi,4,,,,4823.21,4,4,0.05,1206.0
TECH_SUPPORT,RESOLVED,ICICI003,Kerala,2,41.5,36.0,47.0,3506.13,2,2,0.04,1753.0
IMPERSONATION,OPEN,SBI001,Telangana,4,,,,53697.51,4,4,0.54,13424.0
IMPERSONATION,OPEN,HDFC002,Tamil Nadu,2,,,,50262.19,2,2,0.5,25131.0
KYC,ESCALATED,AXIS004,Tamil Nadu,3,,,,6504.929999999999,3,3,0.07,2168.0
IMPERSONATION,ESCALATED,PNB006,Telangana,2,,,,9200.0,2,2,0.09,4600.0
KYC,ESCALATED,BOB007,Uttarakhand,1,,,,3700.0,1,1,0.04,3700.0
IMPERSONATION,RESOLVED,UNION009,Andhra Pradesh,1,79.0,79.0,79.0,9800.0,1,1,0.1,9800.0
TECH_SUPPORT,OPEN,UNION009,Bihar,1,,,,1100.0,1,1,0.01,1100.0
IMPERSONATION,OPEN,PNB006,Gujarat,1,,,,13144.76,1,1,0.13,13145.0
LOTTERY,RESOLVED,INDUS010,Gujarat,4,35.75,4.0,73.0,11631.75,4,4,0.12,2908.0
IMPERSONATION,OPEN,ICICI003,Meghalaya,1,,,,4400.0,1,1,0.04,4400.0
LOTTERY,RESOLVED,UNION009,Delhi,2,55.5,40.0,71.0,13531.83,2,2,0.14,6766.0
EMERGENCY,OPEN,HDFC002,Tamil Nadu,1,,,,3100.0,1,1,0.03,3100.0
JOB,RESOLVED,SBI001,Gujarat,1,56.0,56.0,56.0,2267.84,1,1,0.02,2268.0
EMERGENCY,RESOLVED,UNION009,Himachal Pradesh,1,5.0,5.0,5.0,50000.0,1,1,0.5,50000.0
INVESTMENT,RESOLVED,SBI001,Uttar Pradesh,1,29.0,29.0,29.0,14900.0,1,1,0.15,14900.0
EMERGENCY,OPEN,AXIS004,Delhi,1,,,,2000.0,1,1,0.02,2000.0
KYC,OPEN,HDFC002,Telangana,6,,,,9808.84,6,6,0.1,1635.0
KYC,OPEN,PNB006,Delhi,2,,,,6300.0,2,2,0.06,3150.0
KYC,OPEN,CANARA008,Assam,2,,,,4692.93,2,2,0.05,2346.0
KYC,ESCALATED,KOTAK005,Tamil Nadu,3,,,,5400.0,3,3,0.05,1800.0
LEGITIMATE,RESOLVED,SBI001,West Bengal,1,61.0,61.0,61.0,3969.86,1,1,0.04,3970.0
LOTTERY,OPEN,ICICI003,Telangana,3,,,,13483.52,3,3,0.13,4495.0
EMERGENCY,OPEN,ICICI003,Delhi,1,,,,4238.67,1,1,0.04,4239.0
KYC,OPEN,UNION009,Himachal Pradesh,1,,,,731.82,1,1,0.01,732.0
TECH_SUPPORT,RESOLVED,BOB007,Delhi,1,49.0,49.0,49.0,6400.0,1,1,0.06,6400.0
LOTTERY,RESOLVED,UNION009,Odisha,2,58.0,49.0,67.0,29732.72,2,2,0.3,14866.0
IMPERSONATION,ESCALATED,SBI001,West Bengal,1,,,,12200.0,1,1,0.12,12200.0
KYC,RESOLVED,BOB007,West Bengal,4,53.5,24.0,87.0,17705.56,4,4,0.18,4426.0
JOB,ESCALATED,PNB006,Nagaland,1,,,,1940.22,1,1,0.02,1940.0
